"Año";"Periodo";"Parámetro";"Renta bruta media";"Renta disponible media"
"2018";"Año";"07013-Son Rapinya (Palma de Mallorca)";"35.664";"28.377"
"2018";"Año";"07014-Son Dureta (Palma de Mallorca)";"50.888";"39.505"
"2018";"Año";"07015-Cala Major-El Terreno (Palma de Mallorca)";"42.184";"33.010"
"2018";"Año";"07120-Son Sardina (Palma de Mallorca)";"33.238";"26.679"
"2018";"Año";"07198-Son Ferriol (Palma de Mallorca)";"26.940";"22.292"
"2018";"Año";"07199-Llevant (Palma de Mallorca)";"27.747";"22.955"
"2018";"Año";"07600-El Arenal (Palma de Mallorca)";"23.226";"19.483"
"2018";"Año";"07610-Can Pastilla (Palma de Mallorca)";"34.428";"27.663"
"2018";"Año";"08001-Ciutat Vella-El Raval (Barcelona)";"23.464";"19.437"
"2018";"Año";"08002-Barrio Gótico (Barcelona)";"33.294";"26.177"
"2018";"Año";"08003-Barceloneta y Sant Pere (Barcelona)";"32.286";"25.768"
"2018";"Año";"08004-Pueblo Seco (Barcelona)";"27.518";"22.526"
"2018";"Año";"08005-El Poblenou (Barcelona)";"39.290";"30.604"
"2018";"Año";"08006-Sant Gervasi (Barcelona)";"55.071";"41.987"
"2018";"Año";"08007-Passeig de Gràcia-Rambla de Catalunya (Barcelona)";"64.439";"48.345"
"2018";"Año";"08008-Diagonal-Provença (Barcelona)";"65.297";"48.426"
"2018";"Año";"08009-Dreta de L Eixample (Barcelona)";"49.083";"37.703"
"2018";"Año";"08010-Tetúan-Urquinaona (Barcelona)";"53.626";"41.037"
"2018";"Año";"08011-Urgel-Sant Antoni (Barcelona)";"39.844";"31.241"
"2018";"Año";"08012-Vila de Gracia (Barcelona)";"36.881";"28.949"
"2018";"Año";"08013-Glories Catalanes (Barcelona)";"36.138";"28.585"
"2018";"Año";"08014-Hostafrancs-Sants (Barcelona)";"33.808";"26.905"
"2018";"Año";"08015-Sant Antoni (Barcelona)";"36.873";"29.247"
"2018";"Año";"08016-La Prosperitat-Porta (Barcelona)";"26.261";"21.864"
"2018";"Año";"08017-Vallvidrera-Tibidabo i Les Planes (Barcelona)";"97.866";"71.746"
"2018";"Año";"08018-Sant Martí (Barcelona)";"34.639";"27.426"
"2018";"Año";"08019-Diagonal Mar i El Front Maritim Del Poblenou (Barcelona)";"37.387";"29.157"
"2018";"Año";"08020-La Verneda i La Pau (Barcelona)";"27.012";"22.402"
"2018";"Año";"08021-Muntaner (Barcelona)";"88.149";"64.833"
"2018";"Año";"08022-Sant Gervasi-La Bonanova (Barcelona)";"76.037";"57.027"
"2018";"Año";"08023-Vallcarca i Los Penitentes (Barcelona)";"45.259";"35.137"
"2018";"Año";"08024-Gracia-La Salud (Barcelona)";"35.895";"28.525"
"2018";"Año";"08025-Sagrada Familia (Barcelona)";"34.626";"27.556"
"2018";"Año";"08026-El Clot (Barcelona)";"31.094";"25.114"
"2018";"Año";"08027-La Sagrera (Barcelona)";"30.188";"24.570"
"2018";"Año";"08028-Les Corts (Barcelona)";"37.985";"29.875"
"2018";"Año";"08029-L Nou Esquerra de L Eixample (Barcelona)";"44.009";"34.166"
"2018";"Año";"08030-Sant Andreu-Bon Pastor (Barcelona)";"30.790";"24.941"
"2018";"Año";"08031-Vilapicina i La Torre Llobeta (Barcelona)";"28.264";"23.298"
"2018";"Año";"08032-El Carmelo-El Guinardó (Barcelona)";"29.287";"23.915"
"2018";"Año";"08033-Vallbona-Ciutat Meridiana-Torre Baro-Canyelles (Barcelona)";"21.027";"18.071"
"2018";"Año";"08034-Pedralbes-Sarriá (Barcelona)";"92.053";"68.116"
"2018";"Año";"08035-Sant Genís Dels Agudells-Vall D  Hebrón-Horta (Barcelona)";"33.912";"27.142"
"2018";"Año";"08036-L Antiga Esquerra de L Eixample (Barcelona)";"45.746";"35.387"
"2018";"Año";"08037-Verdaguer-L Eixample (Barcelona)";"45.382";"35.282"
"2018";"Año";"08038-Sants- Montjuic-La Marina de Port (Barcelona)";"27.741";"22.789"
"2018";"Año";"08041-Guinardó i Hospital de Sant Pau (Barcelona)";"33.194";"26.580"
"2018";"Año";"08042-La Guineueta-Verdún (Barcelona)";"25.641";"21.384"
"2018";"Año";"08172-Sant Cugat Nucleo (Sant Cugat del Vallès)";"52.582";"40.161"
"2018";"Año";"08173-Golf-Eixemple-Colomer (Sant Cugat del Vallès)";"61.380";"45.346"
"2018";"Año";"08174-Can Barata (Sant Cugat del Vallès)";"48.782";"36.604"
"2018";"Año";"08195-Mirasol (Sant Cugat del Vallès)";"62.874";"46.418"
"2018";"Año";"08197-Valldoreix (Sant Cugat del Vallès)";"66.269";"48.556"
"2018";"Año";"08198-La Floresta (Sant Cugat del Vallès)";"45.977";"35.187"
"2018";"Año";"08201-Centre (Sabadell)";"40.277";"31.453"
"2018";"Año";"08202-Torre-Romeu-El Poblenou (Sabadell)";"36.017";"28.478"
"2018";"Año";"08203-Montserrat Roig-María Mercé Marçal-Montevideo (Sabadell)";"30.142";"24.440"
"2018";"Año";"08204-Margarida Xirgu-Consol Oromir-Triana-Sant Pius X (Sabadell)";"23.081";"19.560"
"2018";"Año";"08205-Gracia-Aeropuerto (Sabadell)";"29.461";"23.906"
"2018";"Año";"08206-Parque Odessa-Parque Catalunya (Sabadell)";"27.414";"22.497"
"2018";"Año";"08207-Matadepera (Sabadell)";"23.882";"20.138"
"2018";"Año";"08208-Creu Alta-Can Puig Gener (Sabadell)";"30.921";"24.971"
"2018";"Año";"08221-El Centre (Terrassa)";"40.243";"31.390"
"2018";"Año";"08222-Valparadis (Terrassa)";"26.899";"22.105"
"2018";"Año";"08223-Segle X (Terrassa)";"26.355";"21.722"
"2018";"Año";"08224-La Cogallura-Vista Alegre (Terrassa)";"29.364";"23.865"
"2018";"Año";"08225-Placita Del Bon Aire-Can Roca-Poble Nou (Terrassa)";"28.297";"23.105"
"2018";"Año";"08226-Can Tussel (Terrassa)";"24.639";"20.523"
"2018";"Año";"08227-Can Montlior-Els Bellots (Terrassa)";"24.461";"20.422"
"2018";"Año";"08228-P.I. Can Perellada-Perellada (Terrassa)";"27.267";"22.478"
"2018";"Año";"08901-Centre-Sant Josép (Hospitalet de Llobregat)";"29.052";"23.597"
"2018";"Año";"08902-Santa Eulalia-El Gornal (Hospitalet de Llobregat)";"28.079";"23.004"
"2018";"Año";"08903-La Torrassa (Hospitalet de Llobregat)";"24.174";"20.260"
"2018";"Año";"08904-Collblanc (Hospitalet de Llobregat)";"23.101";"19.472"
"2018";"Año";"08905-La Florida-Les Planes (Hospitalet de Llobregat)";"21.456";"18.479"
"2018";"Año";"08906-Pubilla Cases-Can Serra-San Feliú (Hospitalet de Llobregat)";"22.976";"19.545"
"2018";"Año";"08907-Bellvitge-Centre (Hospitalet de Llobregat)";"25.541";"21.443"
"2018";"Año";"08908-Bellvitge-Gran Vía Sud (Hospitalet de Llobregat)";"31.321";"25.142"
"2018";"Año";"08911-Casagemes (Badalona)";"34.895";"27.826"
"2018";"Año";"08912-Badalona (Badalona)";"33.419";"26.766"
"2018";"Año";"08913-La Salut (Badalona)";"23.117";"19.628"
"2018";"Año";"08914-Centro (Badalona)";"22.034";"18.826"
"2018";"Año";"08915-Morera (Badalona)";"28.401";"23.395"
"2018";"Año";"08916-Mas Ram (Badalona)";"38.884";"30.877"
"2018";"Año";"08917-Montigala (Badalona)";"25.554";"21.159"
"2018";"Año";"08918-Sant Roc (Badalona)";"21.529";"18.212"
"2018";"Año";"09001-Universidad Campus San Amaro (Burgos)";"29.723";"24.325"
"2018";"Año";"09002-Museo de La Evolución Humana-Carretera Madrid-Irun (Burgos)";"28.180";"23.251"
"2018";"Año";"09003-Catedral de Burgos (Burgos)";"29.140";"23.955"
"2018";"Año";"09004-Plaza de La Libertad-Av. Arlanzón (Burgos)";"35.849";"28.941"
"2018";"Año";"09005-Plaza de España-Plaza Francisco Sarmiento (Burgos)";"29.847";"24.527"
"2018";"Año";"09006-Villatoro-Cementerio San José (Burgos)";"29.255";"23.964"
"2018";"Año";"09007-San Cristóbal-Gamonal (Burgos)";"23.906";"20.204"
"2018";"Año";"11400-Las Pachecas-El Mojo-Los Isletes (Jerez de la Frontera)";"21.087";"17.929"
"2018";"Año";"11401-Sur (Jerez de la Frontera)";"23.012";"19.483"
"2018";"Año";"11402-Centro (Jerez de la Frontera)";"31.185";"25.342"
"2018";"Año";"11403-Centro-Catedral San Salvador-Alcázar (Jerez de la Frontera)";"26.847";"22.162"
"2018";"Año";"11404-Hospital de Jerez (Jerez de la Frontera)";"20.197";"17.507"
"2018";"Año";"11405-Norte-Noreste-Granja (Jerez de la Frontera)";"26.863";"22.167"
"2018";"Año";"11406-Este-Delicias (Jerez de la Frontera)";"22.389";"19.060"
"2018";"Año";"11407-Centro (Jerez de la Frontera)";"29.571";"24.102"
"2018";"Año";"11408-Oeste-Centro (Jerez de la Frontera)";"20.300";"17.505"
"2018";"Año";"11570-Garrapilos (Jerez de la Frontera)";"17.123";"15.166"
"2018";"Año";"11591-Guadalcacín (Jerez de la Frontera)";"18.764";"16.454"
"2018";"Año";"12001-Centro-Casco Histórico (Castellón de la Plana/Castelló de la Plana)";"37.517";"29.498"
"2018";"Año";"12002-Centro-Hospital-Ribalta-Pza. Toros (Castellón de la Plana/Castelló de la Plana)";"31.721";"25.481"
"2018";"Año";"12003-Este/Zona Avda. del Mar (Castellón de la Plana/Castelló de la Plana)";"30.792";"24.750"
"2018";"Año";"12004-Norte-Nou Estadi Castalia-Pza. Illes Columbretes (Castellón de la Plana/Castelló de la Plana)";"26.624";"21.718"
"2018";"Año";"12005-Sur-Parque Sensal (Castellón de la Plana/Castelló de la Plana)";"27.591";"22.468"
"2018";"Año";"12006-Sur-Oeste-Universidad (Castellón de la Plana/Castelló de la Plana)";"23.497";"19.633"
"2018";"Año";"12100-El Grao (Castellón de la Plana/Castelló de la Plana)";"26.528";"21.690"
"2018";"Año";"14001-Ollerías-Sta Marina-San Lorenzo (Córdoba)";"31.495";"25.228"
"2018";"Año";"14002-San Pedro-Santiago-La Magdalena (Córdoba)";"26.564";"21.751"
"2018";"Año";"14003-Catedral-San Francisco (Córdoba)";"32.651";"26.069"
"2018";"Año";"14004-San Basilio-Parque Cruz Conde-Alameda Del Obispo (Córdoba)";"30.396";"24.636"
"2018";"Año";"14005-Miralbaida-Palmeras (Córdoba)";"28.372";"23.165"
"2018";"Año";"14006-Valdeolleros-Huerta La Reina (Córdoba)";"25.818";"21.297"
"2018";"Año";"14007-Levante (Córdoba)";"21.075";"17.982"
"2018";"Año";"14008-Centro-Avenida de América (Córdoba)";"38.523";"30.161"
"2018";"Año";"14009-Fray Albino (Córdoba)";"20.454";"17.509"
"2018";"Año";"14010-Fuensanta-El Arcángel (Córdoba)";"20.073";"17.233"
"2018";"Año";"14011-El Tablero (Córdoba)";"28.188";"22.946"
"2018";"Año";"14012-El Brillante-Quitapesares (Córdoba)";"40.328";"31.136"
"2018";"Año";"14013-Sector Sur-Polígono Del Guadalquivir (Córdoba)";"17.321";"15.191"
"2018";"Año";"14014-Fátima-Parque Fidiana-Cañero (Córdoba)";"21.692";"18.378"
"2018";"Año";"14193-Alameda Del Obispo (Córdoba)";"19.391";"16.743"
"2018";"Año";"14610-Alcolea (Córdoba)";"21.829";"18.311"
"2018";"Año";"14710-Extrarradio (Villarrubia) (Córdoba)";"20.344";"17.309"
"2018";"Año";"15001-Ciudad Vieja-Centro (Coruña A)";"35.335";"28.040"
"2018";"Año";"15002-Monte Alot-Zalaeta-Atocha (Coruña A)";"28.527";"23.203"
"2018";"Año";"15003-Ensanche (Coruña A)";"39.290";"30.772"
"2018";"Año";"15004-Juan Flórez-San Pablo (Coruña A)";"48.884";"37.766"
"2018";"Año";"15005-Falperra-Santa Lucía-Paseo de Los Puentes-Sta Margarita (Coruña A)";"38.714";"30.235"
"2018";"Año";"15006-Los Castros-Castrillón (Coruña A)";"30.967";"25.006"
"2018";"Año";"15007-Os Mallos (Coruña A)";"23.409";"19.638"
"2018";"Año";"15008-Sagrada Familia-Vioño (Coruña A)";"27.953";"22.850"
"2018";"Año";"15009-Los Castros-Castrillón (Coruña A)";"27.712";"22.615"
"2018";"Año";"15010-Agrán Del Orzán-Ventorrillo (Coruña A)";"22.844";"19.293"
"2018";"Año";"15011-Riazor-Los Rosales (Coruña A)";"28.613";"23.318"
"2018";"Año";"15190-Mesoiro (Coruña A)";"25.169";"20.929"
"2018";"Año";"18001-Centro (Granada)";"33.086";"26.476"
"2018";"Año";"18002-Centro (Granada)";"35.550";"28.539"
"2018";"Año";"18003-Ronda (Granada)";"30.035";"24.545"
"2018";"Año";"18004-Ronda-Arabial (Granada)";"31.896";"25.792"
"2018";"Año";"18005-San Antón (Granada)";"34.024";"27.430"
"2018";"Año";"18006-Figares-Ciudad Jardín (Granada)";"28.830";"23.678"
"2018";"Año";"18007-Zaidín-Vergeles (Granada)";"21.334";"18.198"
"2018";"Año";"18008-Cervantes-Palacio de Deportes-Bola de Oro-Carretera Sierra (Granada)";"31.195";"25.165"
"2018";"Año";"18009-Realejo (Granada)";"35.387";"28.245"
"2018";"Año";"18010-Albaicín-Sacromonte (Granada)";"29.568";"23.979"
"2018";"Año";"18011-Norte-Beiro (Granada)";"20.857";"17.759"
"2018";"Año";"18012-Plaza de Toros-Doctores San Lázaro (Granada)";"34.348";"27.614"
"2018";"Año";"18013-Polígono de Almanjáyar-Joaquina Eguaras Sur (Granada)";"23.224";"19.510"
"2018";"Año";"18014-Barrio de Los Periodistas (Granada)";"32.011";"25.860"
"2018";"Año";"18015-La Chana (Granada)";"24.303";"20.379"
"2018";"Año";"26001-Casco Antiguo (Logroño)";"32.441";"26.074"
"2018";"Año";"26002-Centro (Logroño)";"30.359";"24.949"
"2018";"Año";"26003-El Carmen- Cascajos (Logroño)";"29.192";"24.032"
"2018";"Año";"26004-San José - Los Lirios (Logroño)";"24.262";"20.394"
"2018";"Año";"26005-Carretera del Cortijo- El Cubo- Zona Oeste(AVEZO) (Logroño)";"25.780";"21.512"
"2018";"Año";"26006-Varea-  La Portalada (Logroño)";"31.266";"25.287"
